code,name,date,pred,close,volume
025440,대성엘텍,20220520,,768,403479
004690,삼천리,20220520,,155500,34584
391060,엔에이치스팩20호,20220520,,2140,21501
200230,텔콘RF제약,20220520,,1960,81112
003580,HLB글로벌,20220520,,12450,12210415
017370,우신시스템,20220520,,3005,71229
235980,메드팩토,20220520,,29150,129220
007690,국도화학,20220520,,52300,15740
060720,KH바텍,20220520,,21500,246364
067000,조이시티,20220520,,5490,500810
021650,한국큐빅,20220520,,3775,23654
079430,현대리바트,20220520,,13150,15694
090460,비에이치,20220520,,28300,1115140
036630,세종텔레콤,20220520,,1010,0
006390,한일현대시멘트,20220520,,30000,6973
039130,하나투어,20220520,,69600,199916
109070,컨버즈,20220520,,4100,0
155900,바다로19호,20220520,,3290,30857
396690,미래에셋글로벌리츠,20220520,,6320,33152
052600,한네트,20220520,,9070,365508
251970,펌텍코리아,20220520,,18200,7812
031330,에스에이엠티,20220520,,4540,270166
089980,상아프론테크,20220520,,38950,87055
169330,엠브레인,20220520,,4095,53322
088980,맥쿼리인프라,20220520,,13950,705094
024070,WISCOM,20220520,,3420,19358
058430,포스코스틸리온,20220520,,46200,26479
100840,SNT에너지,20220520,,19700,188897
270870,뉴트리,20220520,,16700,13535
064850,에프앤가이드,20220520,,8280,1384
009320,대우부품,20220520,,2315,657698
040910,아이씨디,20220520,,10150,21519
001250,GS글로벌,20220520,,3995,3477151
089030,테크윙,20220520,,10658,149857
215000,골프존,20220520,,170800,54659
330730,스톤브릿지벤처스,20220520,,6830,264904
065570,삼영이엔씨,20220520,,5970,20103
241710,코스메카코리아,20220520,,12950,18044
189300,인텔리안테크,20220520,,84200,53815
000430,대원강업,20220520,,3435,48596
008500,일정실업,20220520,,20500,7027
036530,SNT홀딩스,20220520,,16800,6011
000250,삼천당제약,20220520,,42750,112153
049180,셀루메드,20220520,,5340,45569
307280,원바이오젠,20220520,,2015,311423
000080,하이트진로,20220520,,35550,266249
005610,SPC삼립,20220520,,78500,9265
025320,시노펙스,20220520,,2860,629780
311390,네오크레마,20220520,,18500,112048
212560,네오오토,20220520,,7870,21256
000890,보해양조,20220520,,856,329174
001380,SG글로벌,20220520,,1735,59587
001740,SK네트웍스,20220520,,4670,359223
320000,윈텍,20220520,,2645,62535
267250,HD현대,20220520,,60000,176111
090710,휴림로봇,20220520,,3715,38277376
002700,신일전자,20220520,,2405,5308648
001820,삼화콘덴서공업,20220520,,51300,25150
002460,화성산업,20220520,,22800,63788
065510,휴비츠,20220520,,11950,182760
056080,유진로봇,20220520,,6530,759090
010280,쌍용정보통신,20220520,,952,417400
006490,인스코비,20220520,,2535,235664
064090,에프앤리퍼블릭,20220520,,3345,27531
001360,삼성제약,20220520,,3825,247624
056730,CNT85,20220520,,3100,0
336060,웨이버스,20220520,,2165,704258
036670,KCI,20220520,,9080,23284
331380,포커스에이치엔에스,20220520,,2900,54375
038620,위즈코프,20220520,,1410,563579
036620,감성코퍼레이션,20220520,,1670,263025
025550,한국선재,20220520,,5630,336796
061250,화일약품,20220520,,2845,331397
080000,에스엔유,20220520,,3490,21634
372910,한컴라이프케어,20220520,,5840,29369
004080,신흥,20220520,,16650,8413
368770,파이버프로,20220520,,5540,1135880
054050,농우바이오,20220520,,12000,182241
227950,엔투텍,20220520,,1385,387316
130660,한전산업,20220520,,13400,874357
004410,서울식품공업,20220520,,303,9323148
054800,아이디스홀딩스,20220520,,12800,18413
052710,아모텍,20220520,,27300,23174
064260,다날,20220520,,8850,1213916
027050,코리아나,20220520,,3835,188658
275630,에스에스알,20220520,,5690,12076
025000,KPX케미칼,20220520,,51700,2120
004270,남성,20220520,,2955,88073
084670,동양고속,20220520,,17850,786
227100,에이치앤비디자인,20220520,,3775,96391
004990,롯데지주,20220520,,34200,94476
060900,대한그린파워,20220520,,966,592513
012030,DB,20220520,,969,144436
073240,금호타이어,20220520,,4235,374686
123040,엠에스오토텍,20220520,,5270,95915
153490,우리이앤엘,20220520,,1620,83172
007530,영신금속,20220520,,2870,88723
016380,KG스틸,20220520,,16900,2233294
035250,강원랜드,20220520,,26850,497897
010060,OCI,20220520,,110500,365314
083500,에프엔에스테크,20220520,,10600,19336
340930,유일에너테크,20220520,,17150,75099
082850,우리바이오,20220520,,3885,238035
101000,상상인인더스트리,20220520,,828,80935
376930,노을,20220520,,6500,24580
191420,테고사이언스,20220520,,17950,23819
051600,한전KPS,20220520,,37500,410774
340570,티앤엘,20220520,,36750,46353
008250,이건산업,20220520,,10700,57269
092220,KEC,20220520,,3365,29002337
102260,동성케미컬,20220520,,4495,74910
273640,와이엠텍,20220520,,17950,48352
950170,JTC,20220520,,3610,116506
014530,극동유화,20220520,,4315,300360
013360,일성건설,20220520,,4005,3191120
019770,서연탑메탈,20220520,,6170,760107
377400,하이제6호스팩,20220520,,2190,6958
246690,TS인베스트먼트,20220520,,2415,114848
303030,지니틱스,20220520,,3020,2298742
206650,유바이오로직스,20220520,,17650,139917
036170,클라우드에어,20220520,,1250,179403
139480,이마트,20220520,,116500,178948
032350,롯데관광개발,20220520,,15100,268377
900270,헝셩그룹,20220520,,337,331166
032540,TJ미디어,20220520,,6300,116972
095270,웨이브일렉트로,20220520,,5130,266752
030610,교보증권,20220520,,7200,33352
066360,체리부로,20220520,,1375,115739
168330,내츄럴엔도텍,20220520,,5300,60269
034310,NICE,20220520,,15900,36611
044060,조광ILI,20220520,,1614,1695696
307870,비투엔,20220520,,2565,13105
096770,SK이노베이션,20220520,,211000,362452
034230,파라다이스,20220520,,15350,320917
207760,미스터블루,20220520,,7290,22763
262260,에이프로,20220520,,15700,55982
034730,SK,20220520,,248500,134164
119860,다나와,20220520,,19200,16126
090740,연이비앤티,20220520,,2105,0
121850,코이즈,20220520,,5080,21031292
255440,야스,20220520,,12800,7826
000320,노루홀딩스,20220520,,11800,6942
238200,비피도,20220520,,9500,136972
051160,지어소프트,20220520,,15500,41468
243840,신흥에스이씨,20220520,,64100,67408
290670,대보마그네틱,20220520,,58600,231510
039020,이건홀딩스,20220520,,4630,86822
069640,한세엠케이,20220520,,3845,8350
016090,대현,20220520,,2545,280498
012700,리드코프,20220520,,9000,59044
027360,아주IB투자,20220520,,3305,193538
063570,한국전자금융,20220520,,5950,100184
003240,태광산업,20220520,,988000,608
227840,현대코퍼레이션홀딩스,20220520,,12750,56409
083470,이엠앤아이,20220520,,3220,0
008060,대덕,20220520,,7670,83640
096760,JW홀딩스,20220520,,3955,23516
380320,삼성머스트스팩5호,20220520,,3900,201556
326030,에스케이바이오팜,20220520,,86300,77180
225220,제놀루션,20220520,,13050,36998
003310,대주산업,20220520,,5620,56687174
073570,WI,20220520,,1190,8141325
100590,머큐리,20220520,,8020,64161
003230,삼양식품,20220520,,90700,47942
052420,오성첨단소재,20220520,,2150,0
094280,효성 ITX,20220520,,16650,10094
261780,차백신연구소,20220520,,7080,92936
065950,웰크론,20220520,,3940,77555
222110,팬젠,20220520,,7890,5269
106240,파인테크닉스,20220520,,13250,859946
028080,휴맥스홀딩스,20220520,,4135,23759
068400,SK렌터카,20220520,,10150,32124
058450,일야,20220520,,764,981434
224110,에이텍티앤,20220520,,12100,27580
019540,일지테크,20220520,,3215,25459
114090,GKL,20220520,,14450,107220
008110,대동전자,20220520,,7470,13193
220100,퓨쳐켐,20220520,,17300,59409
075970,동국알앤에스,20220520,,4870,8378664
032080,아즈텍WB,20220520,,2730,85548
214680,디알텍,20220520,,1595,959931
419270,신영스팩7호,20220520,,2215,5271
214260,라파스,20220520,,38400,114387
227610,아우딘퓨쳐스,20220520,,1490,249339
950200,소마젠,20220520,,5940,34646
187790,나노,20220520,,1330,104762
070300,엑스큐어,20220520,,3405,30052
089140,넥스턴바이오,20220520,,3610,204563
036000,예림당,20220520,,2305,56360
140670,알에스오토메이션,20220520,,16350,1092185
347700,라이프시맨틱스,20220520,,7130,15409
347770,핌스,20220520,,19800,67738
036690,코맥스,20220520,,4170,23595
160980,싸이맥스,20220520,,17800,197268
068930,디지털대성,20220520,,7950,22569
053980,오상자이엘,20220520,,6700,19909
203650,드림시큐리티,20220520,,3955,219353
226400,오스테오닉,20220520,,3290,31563
182360,큐브엔터,20220520,,16550,89940
047770,코데즈컴바인,20220520,,2320,30255
