code,name,date,pred,close,volume
025440,대성엘텍,20220429,,737,120064
004690,삼천리,20220429,,113000,22141
391060,엔에이치스팩20호,20220429,,2175,44780
200230,텔콘RF제약,20220429,,2045,78941
003580,HLB글로벌,20220429,,7950,689700
017370,우신시스템,20220429,,3205,55066
235980,메드팩토,20220429,,32050,80699
007690,국도화학,20220429,,55200,26657
060720,KH바텍,20220429,,20300,243356
067000,조이시티,20220429,,7050,349679
021650,한국큐빅,20220429,,4025,28910
079430,현대리바트,20220429,,14800,23894
090460,비에이치,20220429,,27200,960049
036630,세종텔레콤,20220429,,1010,0
006390,한일현대시멘트,20220429,,32500,15207
039130,하나투어,20220429,,80687,79183
109070,컨버즈,20220429,,4100,0
155900,바다로19호,20220429,,3250,32412
396690,미래에셋글로벌리츠,20220429,,6700,142638
052600,한네트,20220429,,9140,262878
251970,펌텍코리아,20220429,,19700,40826
031330,에스에이엠티,20220429,,4380,205111
089980,상아프론테크,20220429,,39200,52784
169330,엠브레인,20220429,,4545,66649
088980,맥쿼리인프라,20220429,,14200,1610629
024070,WISCOM,20220429,,3515,59841
058430,포스코스틸리온,20220429,,51900,37593
100840,SNT에너지,20220429,,18300,372841
270870,뉴트리,20220429,,19750,9676
064850,에프앤가이드,20220429,,9040,3426
009320,대우부품,20220429,,2315,328347
040910,아이씨디,20220429,,11050,19402
001250,GS글로벌,20220429,,4600,121659282
089030,테크윙,20220429,,11190,268341
215000,골프존,20220429,,162800,17976
330730,스톤브릿지벤처스,20220429,,7710,382685
065570,삼영이엔씨,20220429,,6030,49581
241710,코스메카코리아,20220429,,15550,247665
189300,인텔리안테크,20220429,,78600,49810
000430,대원강업,20220429,,3460,53157
008500,일정실업,20220429,,22700,1903
036530,SNT홀딩스,20220429,,17400,5839
000250,삼천당제약,20220429,,45300,173890
049180,셀루메드,20220429,,5650,72889
307280,원바이오젠,20220429,,1755,223085
000080,하이트진로,20220429,,37300,188871
005610,SPC삼립,20220429,,90000,8742
025320,시노펙스,20220429,,2900,2228672
311390,네오크레마,20220429,,17550,173746
212560,네오오토,20220429,,8220,73607
000890,보해양조,20220429,,966,3120463
001380,SG글로벌,20220429,,1950,123660
001740,SK네트웍스,20220429,,4850,475958
320000,윈텍,20220429,,2950,135300
267250,HD현대,20220429,,58300,185194
090710,휴림로봇,20220429,,2785,29955295
002700,신일전자,20220429,,2290,1123898
001820,삼화콘덴서공업,20220429,,55300,44807
002460,화성산업,20220429,,22350,190028
065510,휴비츠,20220429,,10750,216258
056080,유진로봇,20220429,,6820,464481
010280,쌍용정보통신,20220429,,1115,461288
006490,인스코비,20220429,,2790,243013
064090,에프앤리퍼블릭,20220429,,4030,247003
001360,삼성제약,20220429,,3970,163903
056730,CNT85,20220429,,3100,0
336060,웨이버스,20220429,,2605,9425717
036670,KCI,20220429,,9660,79940
331380,포커스에이치엔에스,20220429,,3085,42666
038620,위즈코프,20220429,,1525,1508483
036620,감성코퍼레이션,20220429,,1745,1249391
025550,한국선재,20220429,,6430,919513
061250,화일약품,20220429,,3335,11311832
080000,에스엔유,20220429,,3590,93364
372910,한컴라이프케어,20220429,,6440,78776
004080,신흥,20220429,,16450,5012
368770,파이버프로,20220429,,4770,8953907
054050,농우바이오,20220429,,12950,86331
227950,엔투텍,20220429,,1710,740836
130660,한전산업,20220429,,13000,343571
004410,서울식품공업,20220429,,343,14723892
054800,아이디스홀딩스,20220429,,12200,2903
052710,아모텍,20220429,,29100,54700
064260,다날,20220429,,9640,987977
027050,코리아나,20220429,,4750,13177624
275630,에스에스알,20220429,,5860,77802
025000,KPX케미칼,20220429,,54500,2633
004270,남성,20220429,,3030,431500
084670,동양고속,20220429,,19050,2835
227100,에이치앤비디자인,20220429,,6040,30794
004990,롯데지주,20220429,,34250,108770
060900,대한그린파워,20220429,,1095,1113090
012030,DB,20220429,,990,486041
073240,금호타이어,20220429,,4310,342784
123040,엠에스오토텍,20220429,,5330,42730
153490,우리이앤엘,20220429,,1690,193589
007530,영신금속,20220429,,3085,11985
016380,KG스틸,20220429,,24650,28041489
035250,강원랜드,20220429,,26800,351234
010060,OCI,20220429,,105500,591288
083500,에프엔에스테크,20220429,,10850,36020
340930,유일에너테크,20220429,,18000,41687
082850,우리바이오,20220429,,4280,518398
101000,상상인인더스트리,20220429,,925,72702
376930,노을,20220429,,7250,26234
191420,테고사이언스,20220429,,17300,5491
051600,한전KPS,20220429,,38100,290372
340570,티앤엘,20220429,,39750,21690
008250,이건산업,20220429,,13250,181865
092220,KEC,20220429,,3190,1773328
102260,동성케미컬,20220429,,4865,17901
273640,와이엠텍,20220429,,20150,67431
950170,JTC,20220429,,3385,632325
014530,극동유화,20220429,,4670,5194890
013360,일성건설,20220429,,5380,3776838
019770,서연탑메탈,20220429,,5330,452793
377400,하이제6호스팩,20220429,,2210,15196
246690,TS인베스트먼트,20220429,,2545,66683
303030,지니틱스,20220429,,3025,495640
206650,유바이오로직스,20220429,,19150,1028969
036170,클라우드에어,20220429,,1380,151668
139480,이마트,20220429,,132000,74332
032350,롯데관광개발,20220429,,16500,350571
900270,헝셩그룹,20220429,,408,948375
032540,TJ미디어,20220429,,7440,2670418
095270,웨이브일렉트로,20220429,,5180,50443
030610,교보증권,20220429,,7820,32626
066360,체리부로,20220429,,1330,285053
168330,내츄럴엔도텍,20220429,,6400,88662
034310,NICE,20220429,,17050,14818
044060,조광ILI,20220429,,1478,1200344
307870,비투엔,20220429,,3060,40654
096770,SK이노베이션,20220429,,205000,1376178
034230,파라다이스,20220429,,16650,499643
207760,미스터블루,20220429,,8070,39002
262260,에이프로,20220429,,15950,60713
034730,SK,20220429,,268000,123866
119860,다나와,20220429,,21100,33004
090740,연이비앤티,20220429,,2105,0
121850,코이즈,20220429,,3325,6023466
255440,야스,20220429,,13350,17600
000320,노루홀딩스,20220429,,12050,21001
238200,비피도,20220429,,8750,6665
051160,지어소프트,20220429,,16650,212559
243840,신흥에스이씨,20220429,,66500,194062
290670,대보마그네틱,20220429,,47500,17938
039020,이건홀딩스,20220429,,5600,296477
069640,한세엠케이,20220429,,4035,26601
016090,대현,20220429,,2830,1910927
012700,리드코프,20220429,,9130,128113
027360,아주IB투자,20220429,,3950,471262
063570,한국전자금융,20220429,,6460,203775
003240,태광산업,20220429,,1016000,291
227840,현대코퍼레이션홀딩스,20220429,,12850,117154
083470,이엠앤아이,20220429,,3220,0
008060,대덕,20220429,,7860,96789
096760,JW홀딩스,20220429,,4430,190552
380320,삼성머스트스팩5호,20220429,,4290,1756030
326030,에스케이바이오팜,20220429,,91800,179255
225220,제놀루션,20220429,,13800,80537
003310,대주산업,20220429,,3310,7576520
073570,WI,20220429,,1405,386412
100590,머큐리,20220429,,7630,94521
003230,삼양식품,20220429,,98300,115614
052420,오성첨단소재,20220429,,2150,0
094280,효성 ITX,20220429,,17500,7140
261780,차백신연구소,20220429,,7320,59124
065950,웰크론,20220429,,3970,51599
222110,팬젠,20220429,,8200,4593
106240,파인테크닉스,20220429,,13200,817849
028080,휴맥스홀딩스,20220429,,4565,32043
068400,SK렌터카,20220429,,11300,30761
058450,일야,20220429,,800,0
224110,에이텍티앤,20220429,,13600,263377
019540,일지테크,20220429,,3425,36226
114090,GKL,20220429,,15500,298002
008110,대동전자,20220429,,8180,33220
220100,퓨쳐켐,20220429,,17500,117299
075970,동국알앤에스,20220429,,4770,261158
032080,아즈텍WB,20220429,,2985,181177
214680,디알텍,20220429,,1605,164904
419270,신영스팩7호,20220429,,2255,71399
214260,라파스,20220429,,36950,34289
227610,아우딘퓨쳐스,20220429,,1705,1017428
950200,소마젠,20220429,,6260,12863
187790,나노,20220429,,1435,124549
070300,엑스큐어,20220429,,3575,28240
089140,넥스턴바이오,20220429,,3820,251296
036000,예림당,20220429,,2620,96780
140670,알에스오토메이션,20220429,,16750,315978
347700,라이프시맨틱스,20220429,,7830,32833
347770,핌스,20220429,,21100,33579
036690,코맥스,20220429,,4510,26224
160980,싸이맥스,20220429,,18900,43254
068930,디지털대성,20220429,,8540,46846
053980,오상자이엘,20220429,,7100,21549
203650,드림시큐리티,20220429,,4130,129775
226400,오스테오닉,20220429,,3530,127230
182360,큐브엔터,20220429,,17200,35184
047770,코데즈컴바인,20220429,,2440,51494
232140,와이아이케이,20220429,,5150,372830
039610,화성밸브,20220429,,7080,130422
206640,바디텍메드,20220429,,14400,45105
158310,참존글로벌,20220429,,1680,0
016740,두올,20220429,,3825,139497
035890,서희건설,20220429,,1875,1739189
950210,프레스티지바이오파마,20220429,,17150,79840
096870,엘디티,20220429,,4785,40522
096530,씨젠,20220429,,40550,333463
007390,네이처셀,20220429,,17200,671558
036800,나이스정보통신,20220429,,30250,18094
066900,디에이피,20220429,,4220,33320
014620,성광벤드,20220429,,9710,184972
400560,하나금융20호스팩,20220429,,2455,149117
000640,동아쏘시오홀딩스,20220429,,114000,2503
009240,한샘,20220429,,78600,57027
200130,콜마비앤에이치,20220429,,34500,153725
298540,더네이쳐홀딩스,20220429,,34550,102500
215480,토박스코리아,20220429,,6930,209761
027740,마니커,20220429,,2020,1802543
001540,안국약품,20220429,,11100,19876
002810,삼영무역,20220429,,14150,10816
192080,더블유게임즈,20220429,,49800,34044
012620,원일특강,20220429,,14100,66547
003650,미창석유공업,20220429,,81600,10266
012860,모베이스전자,20220429,,1855,348336
018290,브이티지엠피,20220429,,7000,345929
099440,스맥,20220429,,1990,6241304
028260,삼성물산,20220429,,115500,300868
237750,피앤씨테크,20220429,,7350,78306
194700,노바렉스,20220429,,20304,18165
084870,티비에이치글로벌,20220429,,2185,41246
028050,삼성엔지니어링,20220429,,26000,1028889
191410,육일씨엔에쓰,20220429,,3490,11413
349720,이베스트스팩5호,20220429,,2200,1022
241560,두산밥캣,20220429,,41550,185760
001200,유진증권,20220429,,3290,118974
013990,아가방컴퍼니,20220429,,4570,669135
026910,광진실업,20220429,,5550,104013
004980,성신양회,20220429,,13250,230316
221980,케이디켐,20220429,,15200,6116
145020,휴젤,20220429,,125400,1947546
049120,파인디앤씨,20220429,,2305,28243
002420,세기상사,20220429,,10409,28385
217620,디딤,20220429,,1415,95828
066670,디스플레이텍,20220429,,7960,121167
148140,비디아이,20220429,,640,0
002790,아모레퍼시픽그룹,20220429,,50000,373014
010240,흥국,20220429,,7810,1034460
308100,까스텔바작,20220429,,9610,28585
101390,아이엠,20220429,,6620,36722
036710,심텍홀딩스,20220429,,5470,115456
018310,삼목에스폼,20220429,,26550,53921
012330,현대모비스,20220429,,207500,199674
030210,다올투자증권,20220429,,4720,161223
062970,피피아이,20220429,,3245,42242
359090,씨엔알리서치,20220429,,2015,143214
178320,서진시스템,20220429,,19450,105650
006620,동구바이오제약,20220429,,7470,25897
086040,바이오톡스텍,20220429,,7790,27263
060310,3S,20220429,,3240,92125
068940,아이씨케이,20220429,,3450,45099
139130,DGB금융지주,20220429,,8940,764883
077360,덕산하이메탈,20220429,,9560,155023
100250,진양홀딩스,20220429,,3740,63565
367460,유안타제7호스팩,20220429,,2480,0
139990,아주스틸,20220429,,16350,53093
089150,케이씨티,20220429,,7190,127458
060590,씨티씨바이오,20220429,,9980,202673
123750,알톤스포츠,20220429,,4485,29693
042940,상지카일룸,20220429,,1540,6840676
019660,글로본,20220429,,3150,201082
109610,에스와이,20220429,,3335,98790
067900,와이엔텍,20220429,,13000,122269
033270,유나이티드,20220429,,29550,73319
049550,잉크테크,20220429,,7190,7932
215790,이노인스트루먼트,20220429,,1915,101956
007820,에스엠코어,20220429,,6700,73633
900070,글로벌에스엠,20220429,,800,141488
012750,에스원,20220429,,68900,66477
267320,나인테크,20220429,,3000,304744
101240,씨큐브,20220429,,7330,59303
010780,아이에스동서,20220429,,53600,45128
277410,인산가,20220429,,2480,779721
256840,한국비엔씨,20220429,,10800,2057297
282330,BGF리테일,20220429,,181000,20456
004920,씨아이테크,20220429,,1130,128497
058530,파나케이아,20220429,,1620,0
018000,유니슨,20220429,,2360,391475
217480,에스디생명공학,20220429,,3230,288713
109820,진매트릭스,20220429,,5900,50407
355150,교보10호기업인수목적,20220429,,2250,14138
111770,영원무역,20220429,,48000,71388
063760,이엘피,20220429,,7200,116439
333430,일승,20220429,,4290,2320413
060850,영림원소프트랩,20220429,,9840,4622
023450,동남합성,20220429,,61300,387
034300,신세계건설,20220429,,34700,14876
087010,펩트론,20220429,,9470,29786
064820,케이프,20220429,,5140,81620
002780,진흥기업,20220429,,2705,22530962
015710,코콤,20220429,,6230,13470
065170,비엘팜텍,20220429,,1260,2328775
217600,켐온,20220429,,2920,3611290
027410,BGF,20220429,,5690,311817
000180,성창기업지주,20220429,,2910,1137618
101330,모베이스,20220429,,3615,65788
126340,비나텍,20220429,,38550,5691
298870,다올인베스트먼트,20220429,,4215,83098
030190,NICE평가정보,20220429,,18400,89129
101490,에스앤에스텍,20220429,,27900,76842
054040,한국컴퓨터,20220429,,4990,214011
237880,클리오,20220429,,21450,934624
005110,한창,20220429,,730,206668
060480,국일신동,20220429,,3685,19883
081660,휠라홀딩스,20220429,,32600,200072
950130,엑세스바이오,20220429,,15650,192138
025620,제이준코스메틱,20220429,,1390,66644103
190650,코리아에셋투자증권,20220429,,12050,10929
066620,국보디자인,20220429,,20600,19700
000210,DL,20220429,,61900,41184
000540,흥국화재,20220429,,3950,86443
373200,하인크코리아,20220429,,8080,982943
312610,에이에프더블류,20220429,,4805,19374
271940,일진하이솔루스,20220429,,40400,45274
288330,브릿지바이오,20220429,,12200,58226
041830,인바디,20220429,,29250,99543
005680,삼영전자공업,20220429,,10800,40070
038390,레드캡투어,20220429,,22850,12014
001510,SK증권,20220429,,865,924519
007110,일신석재,20220429,,1845,681191
078650,지나인제약,20220429,,2120,0
083790,크리스탈지노믹스,20220429,,5120,100903
134380,미원화학,20220429,,71300,178
241520,DSC인베스트먼트,20220429,,5440,95711
254120,자비스,20220429,,2260,133286
065680,우주일렉트로,20220429,,27150,5258
348370,엔켐,20220429,,87200,46699
126560,현대퓨처넷,20220429,,3380,146329
016610,DB금융투자,20220429,,6500,50995
200350,래몽래인,20220429,,19900,16500
060370,KT서브마린,20220429,,6160,203890
064350,현대로템,20220429,,19050,282944
280360,롯데제과,20220429,,125000,6202
003610,방림,20220429,,3935,87729
011690,와이투솔루션,20220429,,1200,0
006360,GS건설,20220429,,42050,417390
352940,인바이오,20220429,,6520,45081
103840,우양,20220429,,5350,237998
065350,신성델타테크,20220429,,13950,177315
305090,마이크로디지탈,20220429,,6555,18930
039560,다산네트웍스,20220429,,6700,36277
003480,한진중공업홀딩스,20220429,,4745,1053822
327260,RF머트리얼즈,20220429,,12700,44536
015540,쎌마테라퓨틱스,20220429,,6410,0
161890,한국콜마,20220429,,47000,429711
014280,금강공업,20220429,,10100,225318
298040,효성중공업,20220429,,55800,11424
001460,BYC,20220429,,455000,207
